Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2895-2929	3	834	2	0	207	2	151639
rev2895-2954	0	0	0	0	0	0	0
rev2895-2991	0	0	0	0	0	0	0
rev2895-2993	0	0	0	0	0	0	0
rev3177-3237	0	0	0	0	0	0	0
rev3177-3275	0	0	0	0	0	0	0
rev3177-3296	0	0	0	0	0	0	0
